Overall_Obligation_Period,ECO_Supplier_Reference,Obligation_Category,Measure_Type,Measure_Reference_Number,Purpose_of_Notification,Associated_Measure,Associated_Measure_Reference_Number,Date_of_Completed_Installation,Building_Number,Building_Name,Flat_Name/Number,Street_Name,Town,Post_Code,Unique_Property_Reference_Number_(UPRN),LSOA/DZ_Code,Low_Income,Adjoining_Installation,Adjoining_LSOA/DZ_Code,Rural_Area,Rural_Sub_Obligation,Affordable_Warmth_Group,AWG_Verification_Method,ESAS_Reference_Number,Private_Domestic_Premises,Tenure,Property_Type,Scoring_Method,Name_&_Version_Of_Scoring_Tool_Used,Appropriate_Methodology_ID,Annual_Carbon_Saving_(TCO2),Annual_Cost_Saving_(£),Lifetime_(yrs),In-Use_Factor,Carbon_Score_(TCO2),Cost_Score_(£),Primary_Eligibility,Evidence_of_Lifetime_for_Wall_Insulation,HTTC_Qualification,Boiler_or_ESH_Warranty,Adequate_Roof_or_Wall_Insulation,Pre_Main_Heating_Source_for_the_Property,Recommended_Measure,Pre_Installation_EPC_RRN,Post_Installation_EPC_RRN,Green_Deal_Advice_Report_URN,Brokerage,Brokerage_Lot_Number,Installed_In_Accordance_with_PAS?,Measure_Carried_Out_As_Part_Of_A_Green_Deal_Plan,Green_Deal_Plan_Reference_Number,Green_Deal_Provider_Registration_ID,Floor_Area,Percentage_of_Measure_Installed,HHCRO_Multiplier,Post_Main_Heating_Source_for_the_Property,Installer_Name,DWP_Reference_Number,Wall_Guarantee,HHCRO_Eligibility,LA_Criteria,LA_Declaration_Reference_Number,PAS_Certification_Number,Percentage_Of_Property_Treated
ECO 2,GGG05070887E,CERO,UFI,GGG9931189,Edited Notification,N/A,N/A,29/04/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Flat,DS,NES ECO Online 2.0,N/A,0.42,42,2,20,4,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,183.69,73,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG4184332,Edited Notification,N/A,N/A,06/07/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,2W_Maisonette_3+,DS,NES ECO Online 2.0,N/A,0.84,84,3,40,8,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,268.75,92,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG8437473,Edited Notification,N/A,N/A,03/02/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bungalow,DS,NES ECO Online 2.0,N/A,0.27,27,1,13,3,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,153.81,67,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG2690616,Edited Notification,N/A,N/A,15/04/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bung_Det_3+,DS,NES ECO Online 2.0,N/A,0.69,69,3,33,7,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,238.88,86,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG6943757,Edited Notification,N/A,N/A,09/11/2015,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,House,DS,NES ECO Online 2.0,N/A,0.12,12,1,6,2,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,123.94,60,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG1196900,Edited Notification,N/A,N/A,08/08/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Double_park_home,DS,NES ECO Online 2.0,N/A,0.9,90,3,43,9,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,280.76,95,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG9038091,Edited Notification,N/A,N/A,08/03/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bungalow,DS,NES ECO Online 2.0,N/A,0.33,33,1,16,3,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,165.82,69,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG3291233,Edited Notification,N/A,N/A,18/05/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bung_Det_3+,DS,NES ECO Online 2.0,N/A,0.75,75,3,36,7,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,250.89,88,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG7544375,Edited Notification,N/A,N/A,13/12/2015,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,House,DS,NES ECO Online 2.0,N/A,0.18,18,1,9,2,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,135.95,63,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG1797517,Edited Notification,N/A,N/A,25/02/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bung_Semi/End_1,DS,NES ECO Online 2.0,N/A,0.61,60,2,29,6,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,221.01,82,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG6050659,Edited Notification,N/A,N/A,18/09/2015,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,House,DS,NES ECO Online 2.0,N/A,0.03,4,1,2,1,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,106.08,56,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG0303801,Edited Notification,N/A,N/A,06/12/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Det_4,DS,NES ECO Online 2.0,N/A,0.46,46,2,22,5,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,191.14,75,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG4556943,Edited Notification,N/A,N/A,21/01/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mobile Home,DS,NES ECO Online 2.0,N/A,0.88,88,3,42,8,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,276.2,94,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG8810084,Edited Notification,N/A,N/A,15/09/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,End-terrace_1,DS,NES ECO Online 2.0,N/A,0.31,31,1,15,3,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,161.26,68,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG3063227,Edited Notification,N/A,N/A,27/10/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Maisonette,DS,NES ECO Online 2.0,N/A,0.73,73,3,35,7,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,246.33,87,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG7316368,Edited Notification,N/A,N/A,25/06/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mid-terrace_1,DS,NES ECO Online 2.0,N/A,0.16,16,1,8,2,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,131.39,62,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG1569511,Edited Notification,N/A,N/A,01/08/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Flat,DS,NES ECO Online 2.0,N/A,0.58,58,2,28,6,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,216.45,81,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG5822652,Edited Notification,N/A,N/A,05/04/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,3W_Flat_1,DS,NES ECO Online 2.0,N/A,0.01,1,1,1,1,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,101.52,55,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG0075795,Edited Notification,N/A,N/A,07/05/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Flat,DS,NES ECO Online 2.0,N/A,0.43,43,2,21,4,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,186.58,74,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG4328936,Edited Notification,N/A,N/A,14/07/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,2W_Maisonette_3+,DS,NES ECO Online 2.0,N/A,0.86,85,3,41,8,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,271.64,93,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG8582078,Edited Notification,N/A,N/A,11/02/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bungalow,DS,NES ECO Online 2.0,N/A,0.28,29,1,14,3,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,156.7,67,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG2835220,Edited Notification,N/A,N/A,23/04/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bung_Det_3+,DS,NES ECO Online 2.0,N/A,0.71,71,3,34,7,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,241.77,86,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG7088361,Edited Notification,N/A,N/A,17/11/2015,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,House,DS,NES ECO Online 2.0,N/A,0.13,14,1,7,2,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,126.83,61,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG1341504,Edited Notification,N/A,N/A,01/02/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bung_Semi/End_1,DS,NES ECO Online 2.0,N/A,0.56,56,2,27,6,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,211.89,80,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG5594645,Edited Notification,N/A,N/A,22/03/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mobile Home,DS,NES ECO Online 2.0,N/A,0.98,98,3,47,9,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,296.96,99,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG9847787,Edited Notification,N/A,N/A,11/11/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Semi_3,DS,NES ECO Online 2.0,N/A,0.41,41,2,20,4,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,182.02,73,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG4100929,Edited Notification,N/A,N/A,22/12/2015,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,House,DS,NES ECO Online 2.0,N/A,0.19,20,1,10,2,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138.84,63,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG1942122,Edited Notification,N/A,N/A,05/03/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bung_Semi/End_1,DS,NES ECO Online 2.0,N/A,0.62,62,2,30,6,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,223.91,82,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG6195263,Edited Notification,N/A,N/A,26/09/2015,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,House,DS,NES ECO Online 2.0,N/A,0.04,5,1,3,1,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,108.97,57,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG0448406,Edited Notification,N/A,N/A,14/12/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Det_4,DS,NES ECO Online 2.0,N/A,0.47,47,2,23,5,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,194.03,76,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG4701547,Edited Notification,N/A,N/A,29/01/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mobile Home,DS,NES ECO Online 2.0,N/A,0.9,89,3,43,9,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,279.09,95,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG8954689,Edited Notification,N/A,N/A,23/09/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,End-terrace_1,DS,NES ECO Online 2.0,N/A,0.32,32,1,16,3,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,164.16,69,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG3207831,Edited Notification,N/A,N/A,04/11/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Maisonette,DS,NES ECO Online 2.0,N/A,0.75,74,3,36,7,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,249.22,88,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG7460973,Edited Notification,N/A,N/A,03/07/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mid-terrace_1,DS,NES ECO Online 2.0,N/A,0.17,17,1,9,2,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134.28,62,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG1714115,Edited Notification,N/A,N/A,10/08/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Flat,DS,NES ECO Online 2.0,N/A,0.6,60,2,29,6,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,219.35,81,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG5967256,Edited Notification,N/A,N/A,13/04/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,3W_Flat_1,DS,NES ECO Online 2.0,N/A,0.02,3,1,2,1,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,104.41,55,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG0220399,Edited Notification,N/A,N/A,16/05/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Flat,DS,NES ECO Online 2.0,N/A,0.45,45,2,22,5,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,189.47,75,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG4473540,Edited Notification,N/A,N/A,22/07/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,2W_Maisonette_3+,DS,NES ECO Online 2.0,N/A,0.87,87,3,42,8,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,274.53,94,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG8726682,Edited Notification,N/A,N/A,19/02/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bungalow,DS,NES ECO Online 2.0,N/A,0.3,30,1,15,3,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,159.6,68,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG2979824,Edited Notification,N/A,N/A,01/05/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bung_Det_3+,DS,NES ECO Online 2.0,N/A,0.72,72,3,34,7,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,244.66,87,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG7232966,Edited Notification,N/A,N/A,25/11/2015,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,House,DS,NES ECO Online 2.0,N/A,0.15,15,1,7,2,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129.72,61,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG1486108,Edited Notification,N/A,N/A,08/02/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bung_Semi/End_1,DS,NES ECO Online 2.0,N/A,0.57,57,2,27,6,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,214.79,80,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG5739250,Edited Notification,N/A,N/A,26/12/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mobile Home,DS,NES ECO Online 2.0,N/A,0.84,83,3,40,8,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,267.12,92,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG8356188,Edited Notification,N/A,N/A,21/08/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,End-terrace_1,DS,NES ECO Online 2.0,N/A,0.26,26,1,13,3,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,152.19,66,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG2609331,Edited Notification,N/A,N/A,30/09/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Maisonette,DS,NES ECO Online 2.0,N/A,0.69,68,3,33,7,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,237.25,85,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,GGG05070887E,CERO,UFI,GGG6862472,Edited Notification,N/A,N/A,01/06/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mid-terrace_1,DS,NES ECO Online 2.0,N/A,0.11,12,1,6,2,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,122.31,60,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,GGG05070887E,CERO,UFI,GGG1115615,Edited Notification,N/A,N/A,06/07/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Flat,DS,NES ECO Online 2.0,N/A,0.54,54,2,26,5,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,207.38,79,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
